★电视家MY直播★,#genre#
广东新闻,http://38.75.136.137:98/gslb/dsdqpub/gdxw.m3u8?auth=testpub
广东体育,http://38.75.136.137:98/gslb/dsdqpub/gdty.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
浙江卫视,http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009
江苏卫视,http://38.75.136.137:98/gslb/dsdqbv/jswshd.m3u8?auth=test20251009
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub
中国气象,http://38.75.136.137:98/gslb/dsdqpub/zgqx.m3u8?auth=testpub

CCTV1HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225654/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV2HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225657/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV3HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225713/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV4HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225761/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV5HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225660/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV5+HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225712/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV6HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225715/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV7HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225700/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV8HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225716/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV9HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225663/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV10HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225704/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV11HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225739/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV12HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225645/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV13HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225742/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV14HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225648/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV15HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225693/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV16HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225956/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
CCTV17HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225766/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
湖南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225719/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
浙江卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225731/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
江苏卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225722/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
安徽卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225701/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
北京卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225651/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
东方卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225718/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
山东卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225672/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
广东卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225666/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
大湾区卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225748/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
深圳卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225725/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
东南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225904/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
广西卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225767/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
贵州卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225770/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
海南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225752/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
河北卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225773/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
河南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225806/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
黑龙江卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225734/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
湖北卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225721/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
吉林卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225678/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
江西卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225957/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
辽宁卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225779/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
内蒙古卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225751/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
宁夏卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225782/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
青海卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225705/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
厦门卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225823/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
山西卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225785/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
陕西卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225754/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
四川卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225757/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
天津卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225675/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
西藏卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225800/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
西藏卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225828/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
新疆卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225788/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
延边卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226273/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
云南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225794/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
甘肃卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225764/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
重庆卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225745/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT
兵团卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225795/index.m3u8?servicetype=3&amp;IASHttpSessionId=OTT

★MY影视★央视频①,#genre#

电视家极速版,https://gitee.com/mimi756/YingShi/raw/master/jinma20260202-.mp4
欢迎加QQ群,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
499155545,http://8.138.7.223/tv/1905.php?id=LIVEOYY31H24H48NE
1905电影网B,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905b

电视家极速版QQ群499155545,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905电影网B,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
电视家极速版QQ群499155545,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
电视家极速版QQ群499155545,http://php.jdshipin.com/1905.php
CCTV1综合,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv1
CCTV2-财经,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv2
CCTV3-综艺,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv3
CCTV4-中文国际,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv4
CCTV5-体育,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv5
CCTV6-电影,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv6
CCTV7-军事农业,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv7
CCTV8-电视剧,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv8
CCTV9-记录,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv9
CCTV-10,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv10
CCTV11-戏曲,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv11
CCTV12-社会与法,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv12
CCTV13-新闻,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv13
CCTV14-少儿,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=cctv14


云南卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=ynws
云南少儿高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1044
CHC动作电影高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1049
深圳卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=szws
高尔夫网球高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1058
央视台球高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1052
体育赛事高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1062
江苏卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=jsws
风云剧场高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1059
湖南卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=hunanws
湖北卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=hbws
女性时尚高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1056
北京卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=bjws
安徽卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=ahws
风云音乐高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1046
河南卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=hnws
金鹰纪实高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1021
吉林卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=jlws
茶频道高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1057
辽宁卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=lnws
甘肃卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=gsws
风云足球高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1045
东方卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=dfws
广东卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=gdws
兵器科技高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1047
天津卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=tjws
浙江卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=zjws
贵州卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=gzws
江西卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=jxws
东南卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=dnws
黑龙江卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=hljws
怀旧剧场高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1053
四川卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=scws
世界地理高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1061
快乐垂钓高清,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=live1051
山东卫视,http://nn.7x9d.cn/mk.php?ip=61.166.174.43:8014&id=sdws

████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████

★MY影视★极速央视,#genre#




CCTV1综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV2财经,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV3综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV4中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV5体育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV6电影,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV7国防军事,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV8电视剧,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV9纪录,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV10科教,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV11戏曲,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV12社会与法,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13新闻,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV14少儿,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV15音乐,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV16奥利匹克,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV17农业农村,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV5+体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8



★MY影视★港澳台②,#genre#



亚洲卫视频道,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
民视闽南频道,rtmp://f13h.mine.nu/sat/tv051
中视闽南频道,rtmp://f13h.mine.nu/sat/tv091
华视闽南频道,rtmp://f13h.mine.nu/sat/tv111
台视闽南频道,rtmp://f13h.mine.nu/sat/tv071
非凡新闻频道,rtmp://f13h.mine.nu/sat/tv581
东森超视频道,rtmp://f13h.mine.nu/sat/tv331
纬来育乐频道,rtmp://f13h.mine.nu/sat/tv701
纬来日本频道,rtmp://f13h.mine.nu/sat/tv771
纬来体育频道,rtmp://f13h.mine.nu/sat/tv721
DAZN-体育壹,rtmp://f13h.mine.nu/sat/tv731
DAZN-体育贰,rtmp://f13h.mine.nu/sat/tv741
momo'tv频道,rtmp://f13h.mine.nu/sat/tv761

博斯运动1,http://iptv.4666888.xyz/iptv2A.php?id=6
美亚电影台,http://iptv.4666888.xyz/iptv2A.php?id=30
东森电影,http://iptv.4666888.xyz/iptv2A.php?id=48
Disney Channel,https://dhoomtv.xyz:443/live/8zpo3GsVY7/beneficial2concern/19741.ts
TVBdrama,http://iptv.4666888.xyz/iptv2A.php?id=33
TVBS新闻台,http://iptv.4666888.xyz/iptv2A.php?id=43
TVBS精采台,http://iptv.4666888.xyz/iptv2A.php?id=47
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
民视综艺,http://iptv.4666888.xyz/iptv2A.php?id=46
民视影剧,http://iptv.4666888.xyz/iptv2A.php?id=53
娱乐新闻台,http://iptv.4666888.xyz/iptv2A.php?id=36
非凡新闻,http://iptv.4666888.xyz/iptv2A.php?id=44
华艺中文台,http://iptv.4666888.xyz/iptv2A.php?id=37
靖洋戏剧台,http://iptv.4666888.xyz/iptv2A.php?id=42
靖天电影台,http://iptv.4666888.xyz/iptv2A.php?id=56
MY影视TVsuper,http://iptv.4666888.xyz/iptv2A.php?id=22
RHJ31,http://iptv.4666888.xyz/iptv2A.php?id=23
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
ELTA综合,http://iptv.4666888.xyz/iptv2A.php?id=49
RockAction,http://iptv.4666888.xyz/iptv2A.php?id=50
台视综合,http://iptv.4666888.xyz/iptv2A.php?id=51
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
翡翠台,http://iptv.4666888.xyz/iptv2A.php?id=28
爱奇艺,http://iptv.4666888.xyz/iptv2A.php?id=21
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=52
Now体育台,http://109.61.81.35:443/767/mpegts?token=1d8c18a3d377f5418d2501aa54082b60
Now星影台,http://74.91.26.218:82/live/nowxy.m3u8
Now新闻台,http://cdn.163189.xyz/163189/now
中天新闻,http://74.91.26.218:82/live/ztxw.m3u8
无线新闻,http://74.91.26.218:82/live/inews.m3u8
无线新闻,https://cdn6.101.qzz.io/163189/wxxw
无线星河,https://cdn6.101.qzz.io/163189/tvbxh
CCM,http://74.91.26.218:82/live/tyjd.m3u8
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
TVB明珠,https://MY影视tv.cdn.loc.cc/o12.php?id=mzt
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB Plus,http://74.91.26.218:82/live/j2.m3u8
TVBS新闻台,http://rihou.cc:555/tv/[FY]tvbS新闻
娱乐新闻台,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbentertainment
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
TANG,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
天映频道,http://74.91.26.218:82/live/typd.m3u8
Z频道,http://74.91.26.218:82/live/twz.m3u8
美亚电影台,https://cdn9.163189.xyz/smt3.1.1.php?id=meiyamovie_twn
美亚电影台,http://74.91.26.218:82/live/MY影视dy.m3u8
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
Astro AEC,https://o11.163189.xyz/stream/live/aec/
Astro AOD,https://o11.163189.xyz/stream/live/aod/
Astro QJ,https://o11.163189.xyz/stream/live/qj/
sports3,http://iptv.4666888.xyz/iptv2A.php?id=3
ASTV亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
凤凰中文台,http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://61.184.46.85:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0






★MY影视★大陆频道,#genre#



CCTV-1HD,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-2HD,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV-3HD,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-4HD,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-5HD,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5+HD,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-6HD,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV-7HD,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV-8HD,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub
CCTV-9HD,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV-10HD,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV-11HD,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV-12HD,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV-13HD,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV-14HD,http://38.75.136.137:98/gslb/dsdqpub/cctv14hd.m3u8?auth=testpub
CCTV-15HD,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV-16HD,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV-17HD,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
CCTV-4K超高清,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-8K超高清,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
中国教育1HD,http://38.75.136.137:98/gslb/dsdqpub/cetv1hd.m3u8?auth=testpub
中国教育2,http://38.75.136.137:98/gslb/dsdqpub/cetv2.m3u8?auth=testpub
中国教育3,http://38.75.136.137:98/gslb/dsdqpub/cetv3.m3u8?auth=testpub
中国教育4,http://38.75.136.137:98/gslb/dsdqpub/cetv4.m3u8?auth=testpub
早期教育,http://38.75.136.137:98/gslb/dsdqpub/zqjy.m3u8?auth=testpub
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
重温经典,http://38.75.136.137:98/gslb/dsdqpub/cwjd.m3u8?auth=testpub
CCTV-电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV-第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
